name,description,col_type,sort_order,database,cluster,schema,table_name
age,"Customer's age","int",1,snowflake,gold,feature_group,demographics
job,"Type of job (categorical: 'admin.', 'services', ...)","string",2,snowflake,gold,feature_group,demographics
marital,"Marital status (categorical: 'married', 'single', ...)","string",3,snowflake,gold,feature_group,demographics
education,"Level of education (categorical: 'basic.4y', 'high.school', ...)","string",4,snowflake,gold,feature_group,demographics
campaign,"Number of contacts performed during this campaign and for this client (numeric, includes last contact)","int",1,snowflake,gold,feature_group,campaign_info
pdays,"Number of days that passed by after the client was last contacted from a previous campaign","int",1,snowflake,gold,feature_group,campaign_info
previous,"Number of contacts performed before this campaign and for this client","int",1,snowflake,gold,feature_group,campaign_info
poutcome,"Outcome of the previous marketing campaign (categorical: 'nonexistent','success', ...)","int",1,snowflake,gold,feature_group,campaign_info
campaign_info.campaign,"Number of contacts performed during this campaign and for this client (numeric, includes last contact)","int",1,snowflake,gold,feature_group,mktg_model_v1
campaign_info.pdays,"Number of days that passed by after the client was last contacted from a previous campaign","int",1,snowflake,gold,feature_group,mktg_model_v1
campaign_info.previous,"Number of contacts performed before this campaign and for this client","int",1,snowflake,gold,feature_group,mktg_model_v1
campaign_info.poutcome_failure,"Outcome of the previous marketing campaign (categorical: 'nonexistent','success', ...)","int",1,snowflake,gold,feature_group,mktg_model_v1
campaign_info.poutcome_nonexistent,"Outcome of the previous marketing campaign (categorical: 'nonexistent','success', ...)","int",1,snowflake,gold,feature_group,mktg_model_v1
campaign_info.poutcome_success,"Outcome of the previous marketing campaign (categorical: 'nonexistent','success', ...)","int",1,snowflake,gold,feature_group,mktg_model_v1
demographics.age_job_admin,"Customer's age","int",1,snowflake,gold,feature_group,mktg_model_v1
demographics.job_blue-collar,"Type of job (categorical: 'admin.', 'services', ...)","int",2,snowflake,gold,feature_group,mktg_model_v1
demographics.job_job_entrepreneur,"Type of job (categorical: 'admin.', 'services', ...)","int",2,snowflake,gold,feature_group,mktg_model_v1
demographics.job_housemaid,"Type of job (categorical: 'admin.', 'services', ...)","int",2,snowflake,gold,feature_group,mktg_model_v1
demographics.job_management,"Type of job (categorical: 'admin.', 'services', ...)","int",2,snowflake,gold,feature_group,mktg_model_v1
demographics.job_retired,"Type of job (categorical: 'admin.', 'services', ...)","int",2,snowflake,gold,feature_group,mktg_model_v1
demographics.job_self-employed,"Type of job (categorical: 'admin.', 'services', ...)","int",2,snowflake,gold,feature_group,mktg_model_v1
demographics.job_services,"Type of job (categorical: 'admin.', 'services', ...)","int",2,snowflake,gold,feature_group,mktg_model_v1
demographics.job_student,"Type of job (categorical: 'admin.', 'services', ...)","int",2,snowflake,gold,feature_group,mktg_model_v1
demographics.job_technician,"Type of job (categorical: 'admin.', 'services', ...)","int",2,snowflake,gold,feature_group,mktg_model_v1
demographics.job_unemployed,"Type of job (categorical: 'admin.', 'services', ...)","int",2,snowflake,gold,feature_group,mktg_model_v1
demographics.job_unknown,"Type of job (categorical: 'admin.', 'services', ...)","int",2,snowflake,gold,feature_group,mktg_model_v1
demographics.marital_divorced,"Marital status (categorical: 'married', 'single', ...)","int",3,snowflake,gold,feature_group,mktg_model_v1
demographics.marital_married,"Marital status (categorical: 'married', 'single', ...)","int",3,snowflake,gold,feature_group,mktg_model_v1
demographics.marital_single,"Marital status (categorical: 'married', 'single', ...)","int",3,snowflake,gold,feature_group,mktg_model_v1
demographics.marital_unknown,"Marital status (categorical: 'married', 'single', ...)","int",3,snowflake,gold,feature_group,mktg_model_v1
demographics.education_basic.4y,"Level of education (categorical: 'basic.4y', 'high.school', ...)","int",4,snowflake,gold,feature_group,mktg_model_v1
demographics.education_basic.6y,"Level of education (categorical: 'basic.4y', 'high.school', ...)","int",4,snowflake,gold,feature_group,mktg_model_v1
demographics.education_basic.9y,"Level of education (categorical: 'basic.4y', 'high.school', ...)","int",4,snowflake,gold,feature_group,mktg_model_v1
demographics.education_high.school,"Level of education (categorical: 'basic.4y', 'high.school', ...)","int",4,snowflake,gold,feature_group,mktg_model_v1
demographics.education_illiterate,"Level of education (categorical: 'basic.4y', 'high.school', ...)","int",4,snowflake,gold,feature_group,mktg_model_v1
demographics.education_professional.course,"Level of education (categorical: 'basic.4y', 'high.school', ...)","int",4,snowflake,gold,feature_group,mktg_model_v1
